issuer_id,instrument_id,exchange,listing_id,isin,symbol,listing_date,end_date,status,identity_status,predecessor_instrument_id,successor_instrument_id
,ins_031bcf10262a1a50,NSE,,,KALYANKJIL,2021-03-26,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_1ee5a72e772e7db9,NSE,,,KARURVYSYA,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_1c1f3b8dc4109a24,NSE,,,KAYNES,2022-11-22,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_acbff2ab24d8e466,NSE,,,KEC,2006-03-10,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_4d2604804226bc56,NSE,,,KEI,2006-03-23,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_9cb0cf5626c4bffe,NSE,,,KFINTECH,2022-12-29,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_b523910ab6e3c340,NSE,,,KOTAKBANK,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_dc4a71125b5290b7,NSE,,,KPITTECH,2019-04-22,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_6e82f95cd513c57f,NSE,,,LALPATHLAB,2015-12-23,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_9a61f638757f7a79,NSE,,,LAURUSLABS,2016-12-19,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_1bde0ae5c4e89d9c,NSE,,,LENSKART,2025-11-10,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_002a76b3e22bd6ad,NSE,,,LGEINDIA,2025-10-14,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_50073a7a53218bc5,NSE,,,LICHSGFIN,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_89235f35fa16026b,NSE,,,LODHA,2021-04-19,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_e725a2d98b4f6304,NSE,,,LT,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_693bcab03f5d5c35,NSE,,,LTF,2011-08-12,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_2df71575deaa71be,NSE,,,LTM,2016-07-21,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_6f90db0d832d354e,NSE,,,LUPIN,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_6791cd18c878e190,NSE,,,M&M,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_1611921ae610e331,NSE,,,M&MFIN,2006-03-17,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_80cd3d657482d354,NSE,,,MANAPPURAM,2010-06-30,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_00bd9bb643189d05,NSE,,,MANKIND,2023-05-09,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_dcd950c668b93726,NSE,,,MARICO,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_c9409c111a2d1c33,NSE,,,MARUTI,2003-07-09,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_6b5a0ce19db4c414,NSE,,,MAZDOCK,2017-12-04,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_501026995b11a999,NSE,,,MCX,2012-03-09,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_18906581f1544629,NSE,,,MEESHO,2025-12-10,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_4b6f41e0b62c333b,NSE,,,MFSL,2000-05-02,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_650aae602d12a247,NSE,,,MOTHERSON,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_1375034844fdf5a5,NSE,,,MOTILALOFS,2007-09-11,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_1a7b0392d09fb193,NSE,,,MPHASIS,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_f463ffae6bcebb83,NSE,,,MRF,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_f55272739d75a2ad,NSE,,,MRPL,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_c9b34b0a06ca2105,NSE,,,MUTHOOTFIN,2011-05-06,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_a67ed13a3fcb1676,NSE,,,NATCOPHARM,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_788ecf696f6ee4a3,NSE,,,NATIONALUM,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_98acee22ee6dae5b,NSE,,,NAUKRI,2006-11-21,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_a96d3b2c3ae7611d,NSE,,,NAVINFLUOR,2007-06-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_1e2ba25909401a05,NSE,,,NBCC,2012-04-12,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_d757f91c09e7ee35,NSE,,,NESTLEIND,2010-01-08,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_7936a60c62e50032,NSE,,,NETWEB,2023-07-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_6b7b16b8cd7a6362,NSE,,,NEULANDLAB,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_87eb5b05d6eeefcf,NSE,,,NH,2016-01-06,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_fa96c730c705931e,NSE,,,NHPC,2009-09-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_43b829f8a03f8005,NSE,,,NMDC,2008-03-03,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_6199d60920ce09f0,NSE,,,NTPC,2004-11-05,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_4a0cdeb135b35a46,NSE,,,NUVAMA,2023-09-26,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_3d5a92ef65813217,NSE,,,NYKAA,2021-11-10,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_a82cfd2fb159dfc0,NSE,,,OBEROIRLTY,2010-10-20,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_e4ecc7820aa5d5bd,NSE,,,OFSS,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_45518f8f91d197af,NSE,,,OIL,2009-09-30,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_580c0e35a8c6cd43,NSE,,,OLAELEC,2024-08-09,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_3f74951c53754444,NSE,,,ONGC,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_5dd903dda62b2e8e,NSE,,,PAGEIND,2007-03-16,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_2abebf99efd6d55c,NSE,,,PATANJALI,2020-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_5ba3389818c85771,NSE,,,PAYTM,2021-11-18,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_f11c3cfd8e697d92,NSE,,,PERSISTENT,2010-04-06,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_904f7477d8717d99,NSE,,,PFC,2007-02-23,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_10c6b088c5ad938b,NSE,,,PGEL,2011-09-26,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_b102d8dc0be25b80,NSE,,,PHOENIXLTD,2007-04-23,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_ff39eb6ffcf63357,NSE,,,PIDILITIND,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_bbe8a84e56b339ad,NSE,,,PIIND,2011-06-15,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_b47278f90d296edb,NSE,,,PINELABS,2025-11-14,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_2ae9ad7cfc1004b8,NSE,,,PIRAMALFIN,2025-11-07,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_0b6d6db1d6f81920,NSE,,,PNB,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
