instrument_id,exchange,symbol,valid_from,valid_to,source_id,identity_status
ins_6791cd18c878e190,NSE,M&M,,,local_filename_only,UNRESOLVED
ins_1611921ae610e331,NSE,M&MFIN,,,local_filename_only,UNRESOLVED
ins_80cd3d657482d354,NSE,MANAPPURAM,,,local_filename_only,UNRESOLVED
ins_00bd9bb643189d05,NSE,MANKIND,,,local_filename_only,UNRESOLVED
ins_dcd950c668b93726,NSE,MARICO,,,local_filename_only,UNRESOLVED
ins_c9409c111a2d1c33,NSE,MARUTI,,,local_filename_only,UNRESOLVED
ins_6b5a0ce19db4c414,NSE,MAZDOCK,,,local_filename_only,UNRESOLVED
ins_501026995b11a999,NSE,MCX,,,local_filename_only,UNRESOLVED
ins_18906581f1544629,NSE,MEESHO,,,local_filename_only,UNRESOLVED
ins_4b6f41e0b62c333b,NSE,MFSL,,,local_filename_only,UNRESOLVED
ins_650aae602d12a247,NSE,MOTHERSON,,,local_filename_only,UNRESOLVED
ins_1375034844fdf5a5,NSE,MOTILALOFS,,,local_filename_only,UNRESOLVED
ins_1a7b0392d09fb193,NSE,MPHASIS,,,local_filename_only,UNRESOLVED
ins_f463ffae6bcebb83,NSE,MRF,,,local_filename_only,UNRESOLVED
ins_f55272739d75a2ad,NSE,MRPL,,,local_filename_only,UNRESOLVED
ins_c9b34b0a06ca2105,NSE,MUTHOOTFIN,,,local_filename_only,UNRESOLVED
ins_a67ed13a3fcb1676,NSE,NATCOPHARM,,,local_filename_only,UNRESOLVED
ins_788ecf696f6ee4a3,NSE,NATIONALUM,,,local_filename_only,UNRESOLVED
ins_98acee22ee6dae5b,NSE,NAUKRI,,,local_filename_only,UNRESOLVED
ins_a96d3b2c3ae7611d,NSE,NAVINFLUOR,,,local_filename_only,UNRESOLVED
ins_1e2ba25909401a05,NSE,NBCC,,,local_filename_only,UNRESOLVED
ins_d757f91c09e7ee35,NSE,NESTLEIND,,,local_filename_only,UNRESOLVED
ins_7936a60c62e50032,NSE,NETWEB,,,local_filename_only,UNRESOLVED
ins_6b7b16b8cd7a6362,NSE,NEULANDLAB,,,local_filename_only,UNRESOLVED
ins_87eb5b05d6eeefcf,NSE,NH,,,local_filename_only,UNRESOLVED
ins_fa96c730c705931e,NSE,NHPC,,,local_filename_only,UNRESOLVED
ins_43b829f8a03f8005,NSE,NMDC,,,local_filename_only,UNRESOLVED
ins_6199d60920ce09f0,NSE,NTPC,,,local_filename_only,UNRESOLVED
ins_4a0cdeb135b35a46,NSE,NUVAMA,,,local_filename_only,UNRESOLVED
ins_3d5a92ef65813217,NSE,NYKAA,,,local_filename_only,UNRESOLVED
ins_a82cfd2fb159dfc0,NSE,OBEROIRLTY,,,local_filename_only,UNRESOLVED
ins_e4ecc7820aa5d5bd,NSE,OFSS,,,local_filename_only,UNRESOLVED
ins_45518f8f91d197af,NSE,OIL,,,local_filename_only,UNRESOLVED
ins_580c0e35a8c6cd43,NSE,OLAELEC,,,local_filename_only,UNRESOLVED
ins_3f74951c53754444,NSE,ONGC,,,local_filename_only,UNRESOLVED
ins_5dd903dda62b2e8e,NSE,PAGEIND,,,local_filename_only,UNRESOLVED
ins_2abebf99efd6d55c,NSE,PATANJALI,,,local_filename_only,UNRESOLVED
ins_5ba3389818c85771,NSE,PAYTM,,,local_filename_only,UNRESOLVED
ins_f11c3cfd8e697d92,NSE,PERSISTENT,,,local_filename_only,UNRESOLVED
ins_904f7477d8717d99,NSE,PFC,,,local_filename_only,UNRESOLVED
ins_10c6b088c5ad938b,NSE,PGEL,,,local_filename_only,UNRESOLVED
ins_b102d8dc0be25b80,NSE,PHOENIXLTD,,,local_filename_only,UNRESOLVED
ins_ff39eb6ffcf63357,NSE,PIDILITIND,,,local_filename_only,UNRESOLVED
ins_bbe8a84e56b339ad,NSE,PIIND,,,local_filename_only,UNRESOLVED
ins_b47278f90d296edb,NSE,PINELABS,,,local_filename_only,UNRESOLVED
ins_2ae9ad7cfc1004b8,NSE,PIRAMALFIN,,,local_filename_only,UNRESOLVED
ins_0b6d6db1d6f81920,NSE,PNB,,,local_filename_only,UNRESOLVED
ins_4c9b88140f826aa8,NSE,PNBHOUSING,,,local_filename_only,UNRESOLVED
ins_f203b728ec5f0f92,NSE,POLICYBZR,,,local_filename_only,UNRESOLVED
ins_6e675b5844535941,NSE,POLYCAB,,,local_filename_only,UNRESOLVED
ins_085ea6a86e0605ee,NSE,POONAWALLA,,,local_filename_only,UNRESOLVED
ins_c68c316dd026e084,NSE,POWERGRID,,,local_filename_only,UNRESOLVED
ins_d45dc3b7aa25a2a7,NSE,POWERINDIA,,,local_filename_only,UNRESOLVED
ins_4ec0dddb4a5cae26,NSE,PPLPHARMA,,,local_filename_only,UNRESOLVED
ins_bc50e4a3cda06848,NSE,PREMIERENE,,,local_filename_only,UNRESOLVED
ins_d71a9ad4951f06f0,NSE,PRESTIGE,,,local_filename_only,UNRESOLVED
ins_a9136bd20a693e6f,NSE,PWL,,,local_filename_only,UNRESOLVED
ins_9878a0ffec3a3aab,NSE,RADICO,,,local_filename_only,UNRESOLVED
ins_0936092f9bdffe45,NSE,RAMCOCEM,,,local_filename_only,UNRESOLVED
ins_4238c35d616ba393,NSE,RBLBANK,,,local_filename_only,UNRESOLVED
