symbol,file,asset_class,sha256,earliest_date,latest_date,observations,missing_trading_sessions,missing_session_pct,large_internal_gaps_gt_5_sessions,largest_internal_gap_sessions,duplicate_dates,zero_or_negative_price_rows,zero_volume_rows,missing_volume_rows,turnover_available,suspected_listing_date,suspected_end_date,activity_status,corporate_action_discontinuities
BANKINDIA,BANKINDIA_DAILY.csv,EQUITY_CURRENT_MAP,bf15a55316cab731710aef709bedb12cb09fb2c8eae86829a90e0e0f52a257ab,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
BDL,BDL_DAILY.csv,EQUITY_CURRENT_MAP,d4629a7eaf96c6e454c6e8bbb94907dffa9930fb4b42098b5938442423a975f8,2018-03-23 00:00:00,2026-08-13 00:00:00,2077,1,0.048216007714561235,0,0,0,0,0,0,False,2018-03-23 00:00:00,,CURRENTLY_ACTIVE,0
BEML,BEML_DAILY.csv,EQUITY_CURRENT_MAP,abe4f17d82c72f5975c1d6f9f2588ae10efb582d2612bbdb2888fc94de002698,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
BHARATBOND-APR30,BHARATBOND-APR30_DAILY.csv,OTHER_NON_EQUITY_OR_UNRESOLVED,92c93c07e7165bc3e6761295d7917fd472c2a143ba6e8ca5cdee05c20957b7a2,2019-11-29 00:00:00,2026-07-17 00:00:00,1705,8,0.48573163327261687,0,0,0,0,1705,0,False,2019-11-29 00:00:00,2026-07-17 00:00:00,TERMINATED_OR_SOURCE_ENDED_UNRESOLVED,0
BHARATBOND-APR31,BHARATBOND-APR31_DAILY.csv,OTHER_NON_EQUITY_OR_UNRESOLVED,4f288c42eeb053c43ed96c0fb8dbbb66f4faea40c2e8c688778bfa4b0e5bf9a9,2020-06-30 00:00:00,2026-07-17 00:00:00,1494,10,0.6653359946773121,0,0,0,0,1494,0,False,2020-06-30 00:00:00,2026-07-17 00:00:00,TERMINATED_OR_SOURCE_ENDED_UNRESOLVED,0
BHARATBOND-APR32,BHARATBOND-APR32_DAILY.csv,OTHER_NON_EQUITY_OR_UNRESOLVED,a4644094d97dfc61c3187d7eb0125a4d2d7578d75dd6689e05449931b76332f5,2021-12-01 00:00:00,2026-07-17 00:00:00,1138,11,0.9581881533101045,0,0,0,0,1138,0,False,2021-12-01 00:00:00,2026-07-17 00:00:00,TERMINATED_OR_SOURCE_ENDED_UNRESOLVED,0
BHARATBOND-APR33,BHARATBOND-APR33_DAILY.csv,OTHER_NON_EQUITY_OR_UNRESOLVED,da2e7eab1efd7d16b25abec0b8d3042ab64120d887c4e08216698f4b539b90f2,2022-11-30 00:00:00,2026-07-17 00:00:00,895,5,0.5555555555555556,0,0,0,0,895,0,False,2022-11-30 00:00:00,2026-07-17 00:00:00,TERMINATED_OR_SOURCE_ENDED_UNRESOLVED,0
BHARATFORG,BHARATFORG_DAILY.csv,EQUITY_CURRENT_MAP,1228ece0cb129c71472eba973e7db7cb52e3f4b6123f07fe0dbfb8032d23f18b,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
BHARTIARTL,BHARTIARTL_DAILY.csv,EQUITY_CURRENT_MAP,837b4946b5ea308dd6a15d2e504670ad0c1128d3d6a08423b722e5da446d8ff8,2003-01-01 00:00:00,2026-08-13 00:00:00,5822,46,0.7844474761255116,1,22,0,0,0,0,False,2003-01-01 00:00:00,,CURRENTLY_ACTIVE,0
BHEL,BHEL_DAILY.csv,EQUITY_CURRENT_MAP,19634b932122474feddb78fe0124e1ea03ad49dd092d39996d21e82fef417253,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
BIOCON,BIOCON_DAILY.csv,EQUITY_CURRENT_MAP,c63ac4c70f7bf8b0eac677213656d7c015c9e5ace4220c810594350b655c1ab8,2004-04-07 00:00:00,2026-08-13 00:00:00,5505,43,0.7756132756132756,1,22,0,0,0,0,False,2004-04-07 00:00:00,,CURRENTLY_ACTIVE,0
BLS,BLS_DAILY.csv,EQUITY_CURRENT_MAP,4f5fc5e27868b723b65aedf523726df8659d253e0b5894542fd800820c34ab19,2016-06-15 00:00:00,2026-08-13 00:00:00,2515,3,0.11933174224343675,0,0,0,0,0,0,False,2016-06-15 00:00:00,,CURRENTLY_ACTIVE,0
