symbol,company_name,index_name,action,announcement_date,effective_date,source_url,reference_reason
DALMIABHA,Dalmia Bharat Ltd.,NIFTY Midcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DALMIABHA,Dalmia Bharat Ltd.,NIFTY Alpha 50 Index,excluded,2018-03-08,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs08032018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DBCORP,D.B.Corp Ltd.,NIFTY LargeMidcap 250,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DBCORP,D.B.Corp Ltd.,NIFTY Midcap 150,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DBCORP,D.B.Corp Ltd.,NIFTY Smallcap 250,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DBL,Dilip Buildcon Ltd.,NIFTY 200,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DBL,Dilip Buildcon Ltd.,NIFTY LargeMidcap 250,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DBL,Dilip Buildcon Ltd.,NIFTY Midcap 150,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DBL,Dilip Buildcon Ltd.,NIFTY Smallcap 250,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DBL,Dilip Buildcon Ltd.,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DBL,Dilip Buildcon Ltd.,NIFTY Smallcap 50,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DBL,Dilip Buildcon Ltd.,NIFTY Alpha 50 Index,included,2018-03-08,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs08032018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DCAL,Dishman Carbogen Amcis Ltd.,NIFTY MidSmallcap 400,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DCAL,Dishman Carbogen Amcis Ltd.,NIFTY Smallcap 250,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DCBBANK,DCB Bank Ltd.,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DELTACORP,Delta Corp Ltd.,NIFTY Smallcap 50,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DENABANK,Dena Bank,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DHANUKA,Dhanuka Agritech Ltd.,NIFTY 500,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DHANUKA,Dhanuka Agritech Ltd.,NIFTY MidSmallcap 400,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DHANUKA,Dhanuka Agritech Ltd.,NIFTY Smallcap 250,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
DHFL,Dewan Housing Finance Corporation Ltd.,NIFTY Midcap 50,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
EDELWEISS,Edelweiss Financial Services Ltd.,NIFTY Dividend Opportunities 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
EDELWEISS,Edelweiss Financial Services Ltd.,NIFTY Financial Services,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
